# k bin_0 bin_1
12.425 1.542788323504692e-22 1.9874088865999215e-18
12.475000000000001 1.2972200796036573e-22 1.6590127782566665e-18
12.525 1.0906692662650942e-22 1.3848177288606944e-18
12.575000000000001 9.169482045470211e-23 1.1558888491300754e-18
12.625 7.708485669027565e-23 9.647622498352508e-19
12.675 6.479866927276654e-23 8.052031916307357e-19
12.725000000000001 5.446732822495756e-23 6.720039408490172e-19
12.775 4.578036355715893e-23 5.608148224229655e-19
12.825000000000001 3.8476520495388316e-23 4.680030263445336e-19
12.875 3.233597355857946e-23 3.9053461526976734e-19
12.925 2.71737697902163e-23 3.258759264264503e-19
12.975000000000001 2.283430752912455e-23 2.719111846334406e-19
13.025 1.9186687531180568e-23 2.268736648933298e-19
13.075000000000001 1.6120798910394576e-23 1.8928817932559456e-19
13.125 1.35440240011067e-23 1.5792302810517983e-19
13.175 1.1378464481006255e-23 1.3174985922803726e-19
13.225000000000001 9.558606470524297e-24 1.0991013710516415e-19
13.275 8.029355283948303e-24 9.168713336084697e-20
13.325000000000001 6.744381431730293e-24 7.6482531617086e-20
13.375 5.664728679889221e-24 6.379688720557229e-20
13.425 4.7576427308062125e-24 5.321330744792746e-20
13.475000000000001 3.995585627525773e-24 4.4383822388995634e-20
13.525 3.355406491959155e-24 3.701800300677377e-20
13.575000000000001 2.8176438485773644e-24 3.08734567586019e-20
13.625 2.3659386946137816e-24 2.5747891200453655e-20
13.675 1.9865407714428877e-24 2.147248729507591e-20
13.725000000000001 1.6678932656583476e-24 1.7906366544989342e-20
13.775 1.4002835048810368e-24 1.4931971619081907e-20
13.825000000000001 1.1755491808893744e-24 1.2451209833356526e-20
13.875 9.868312896382674e-25 1.0382233656040892e-20
13.925 8.283663729106272e-25 8.656753136352465e-21
13.975000000000001 6.953118210764955e-25 7.217792474944185e-21
14.025 5.835989854197647e-25 6.017817422699975e-21
14.075000000000001 4.898096810863642e-25 5.017172281503619e-21
14.125 4.1107236253882637e-25 4.182775377368855e-21
14.175 3.4497484332793643e-25 3.487030310149586e-21
14.225000000000001 2.8949092848740158e-25 2.906917328468594e-21
14.275 2.429187457106681e-25 2.423235062093025e-21
14.325000000000001 2.0382891310385914e-25 2.019967757795154e-21
14.375 1.710209771974058e-25 1.6837572683980687e-21
14.425 1.4348680386571798e-25 1.4034624716230258e-21
14.475000000000001 1.203798142654195e-25 1.1697916569880135e-21
14.525 1.0098913413131662e-25 9.749958084844768e-22
14.575000000000001 8.471787300515801e-26 8.126127058890064e-22
14.625 7.106487467785052e-26 6.7725343334948515e-22
14.675 5.960938500565147e-26 5.644242746220297e-22
14.725000000000001 4.999817148125582e-26 4.703781353865478e-22
14.775 4.193470312632555e-26 3.9199060232188025e-22
14.825000000000001 3.5170061663628065e-26 3.2665655772438283e-22
14.875 2.9495307388531883e-26 2.7220394383622685e-22
14.925 2.4735067272319477e-26 2.2682183478698984e-22
14.975000000000001 2.0742149918906737e-26 1.890004445786185e-22
15.025 1.7393023177727027e-26 1.5748109225413251e-22
